"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,309.190031152648,308.253790005615,303.381721433906,306.859130434783,309.734513274336,318.268618714195,324.189526184539,327.411164567345,329.815303430079,328.895849647612,329.616413916146,329.593267882188,324.526134405514,314.953271028037,318.835249725926,331.167049679245,336.363636363636,343.100022930693,351.61311031247,352.203975799481,354.013044781522,356.21139327385,356.579174718936,358.893203494831,357.142857142857,357.033613249669,358.704848083572,365.510777881912,371.501748251748,375.268817204301,377.606177606178,382.655852275265,384.343327752217,384.130982367758,384.422110552764,384.794776119403,384.615384615385,382.100254823474,384.289531772233,387.029288702929,395.833333333333,402.2787028922,405.93111389996,402.964959568733,403.800475059382,405.664687071722,405.805687203791,407.901987759861,409.236396890718,407.054952510176,408.121410992617,415.569072227812,418.198715782359
"Cook","IL","Chicago","17","031",2,174.718147099029,176.333333333333,177.450980392157,176.595744680851,172.781854569713,170.60997891352,164.712893294827,162.670376712329,156.890564771546,155.722956722957,152.24358974359,143.888888888889,140.199442981332,139.326923076923,140.142946122703,140.639698965193,141.278610891871,140.598880701567,139.755426062897,138.384615384615,137.156043190526,134.038164002063,127.313067784766,121.520706042091,123.094688221709,125.019546520719,127.086188654676,129.602595296026,130.463144161774,128.087606837607,122.629857085462,120.842572062084,119.393382352941,118.918918918919,125.476738750281,123.100375234522,122.088254965515,125.889788457807,130.574912891986,135.135135135135,139.111168014567,142.321061667933,141.203463564926,139.96,141.58630458142,139.865557694953,133.870349060222,132.790368271955,128.311142107479,136.222317257109,143.933354509201,149.785582306059,155.023970671179,156.825668449198,156.806722689076,155.695349680057,153.675048355899,151.417297979798,146.378914876208,138.539741219963,135.558130393447,142.466558914961,151.515,154.820548909219,159.527462411783,161.499761835511,160.919540229885,159.225674157677,158.102766798419,157.567567567568,154.649238784364,150.60878771837,149.557522123894,154.243827160494,162.300683371298,168.39774850953,171.793193717277,172.470588235294,170.269870107004,166.800106752068,166.666666666667,165.389508710119,162.555240258515,158.288373151429,157.454545454545,166.057245622591,172.586329458645,176.635514018692,179.542981501632,181.328036322361,180.666191265197,177.721088435374,176.842106235907,176.253443526171,173.809523809524,169.975165525671,170.260223048327,176.934797517827,187.385177893405
"Harris","TX","Houston","48","201",3,75.0577367205543,76.0108216432866,76.1986301369863,76.4192139737991,76.1713135958609,75.7630841121495,74.6829710144928,74.6132246376812,75.3152487722077,74.6758333333333,75.0615632892438,74.1435945565462,73.5640460554192,73.4814489805415,73.7051225091693,73.327615780446,73.7028301886792,73.6181559669587,73.0231600321827,72.4722075172049,71.5903379930889,71.809801067443,71.1690594784647,71.2053001277139,71.2003084211732,71.2143692114018,72.1134543894767,73.1707317073171,73.6354022988506,73.9437727035211,73.7010668763962,73.614917025045,73.4363525091799,73.2265446224256,75.2079678692833,75.8045829729528,76.2063157894737,78.6691280725514,79.8461227786753,80.839645485745,81.5837677091449,82.3614751727354,82.5258630437943,82.9734731647131,83.6312014345487,85.3847455806251,84.7992890412372,85.3321878579611,85.8676726639582,88.1683035477786,89.5903771131339,91.5998472699504,92.4737816162862,92.5094925785295,93.0864273636748,94.3944364566669,95.3870625662778,96.0335312609151,97.4334258334455,99.5229680893539,102.022431259045,104.109755780376,104.899582681273,106.983907454108,104.88379022646,103.330902017992,105.865522174535,106.45789748954,107.447361311514,108.641966512291,108.327461139896,110.20641356432,111.33052992727,109.095139607032,110.24973007055,110.364683301344,110.771552454282,111.011552045912,110.414657666345,110.883657454794,110.552824249303,110.665597433841,110.110148514851,110.056342372088,110.816772394693,111.966497117696,112.915974759216,113.484220820345,113.308329612555,113.081672102498,112.323572065067,112.702774409864,113.827993254637,114.21307106599,114.62471395881,115.529753265602,115.97658790375,116.650205346081,117.987533392698
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.998028558031,122.605363984674,123.006822221489,124.245357049438,125.065435565474,125.798722044728,125.663889358092,125.607779578606,124.841971176821,124.945898038701,125.23511966956,126.426295365908,125.782572761587,124.876391906573,128.601144155791,130.974073367559,132.485694066752,133.997443730169,134.651209942951,134.248210023866,132.210266585267,133.770822816759,134.836246756823,136.538535112091,138.030557375259,138.430467397576,140.025680432955,142.543146929825,143.013829279924,143.50711014931,144.360385144429,143.818307474288,142.986121292088,142.90187361067,143.687603820598,144.619289340102,145.536911145155,145.88955687729,147.291450859391,148.940397350993,149.359764386044,150.375939849624,150.517403574788,149.7441288883,148.984198645598,149.826058714254,151.244129758419,153.267715899919,154.102758066859,155.209071580439,156.576200417537,157.935393258427,159.076901024952
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273.944460181954,274.65731844321,276.322868743021,281.033153430995,285.634920634921,289.735099337748,294.581280788177,296.174863387978,295.356236786469,295.657009942132,294.464944649447,292.235494880546,289.394287619872,285.760788690476,289.105295191722,294.435469395082,299.412915851272,302.621762116796,307.914046121593,303.07285769966,314.474192653947,315.504807692308,316.480891719745,314.79653880844,315.363881401617,316.741187214848,317.8362409629,321.013127904239,323.072139303483,325.153159059584,327.088908712459,328.5,330.63829787234,330.072463768116,330.384742609921,330.46357615894,328.754666679664,329.62962962963,333.575581395349,334.871349366415,339.775561097257,345.544554455446,349.830913201478,348.747652524154,350.561009817672,352.318061840121,353.658536585366,353.888648642508,354.166527777778,356.643356643357,360.379854027343,366.111111111111,369.814241486068
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.2,343.511450381679,343.597435198199,344.823049001815,347.428195240765,349.201596806387,352.183650615901,353.962264150943,356.021689497717,355.932203389831,355.29710283637,357.341053441971,355.975755209546,355.056486452289,352.78431372549,355.774493705528,360.446679185127,361.602939012727,364.252214695154,367.284629695521,369.742198100407,371.436154079466,373.702422145329,374.233128834356,374.453134023,373.389787961861,376.324018647937,378.116246498599,381.436745073109,383.663366336634,386.257256705079,388.390734817974,390.980657475812,391.154726792782,390.873015873016,391.179958221821,392.078431372549,393.527171171942,394.362096347274,397.576457010964,399.539347490282,403.724195461215,405.877015381441,408.705526116578,407.71643663739,410.1584923938,411.991199119912,413.412563667233,413.636363636364,415.015954052329,416.154067536454,420.924574209246,425.035965796467,425.33185840708
"Kings","NY","New York","36","047",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.333333333333,383.597883597884,380.34188034188,388.944444444444,393.386116373556,396.362433862434,400.160384923817,390.917126348354,389.756944444444,403.973509933775,401.533139858705,419.782608695652,402.895054282268,401.931720945577,391.176470588235,398.614483493078,404.411764705882,434.250613477632,449.21875,449.95,450.355553475243,450,471.555316091954,468.085106382979,471.14064602961,523.287793132328,518.916685140384,533.389074693423,550,580,578.650097465887,579.150579150579,575,599.860335195531,606.905856805263,605.626841711747,608.768176378866,659.162234042553,674.855212355212,650.701184275106,701.847198957752,666.878575969485,676.328502415459,665.925925925926,679.717237629146,703.396476833977,711.175616835994,712.045967529789,720.046082949309,717.320261437908,727.2535643109,743.243243243243,751.366120218579,781.25,794.510582010582,780.894338348765,765.52179620591,754.242614707731,756.563554328234,768.360368352131,754.310344827586,757.389162561576,707.290533188248,640.472175379427
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.381933781375,157.764870515241,161.616161616162,165.834992533599,165.258905618803,164.592533119229,168.434660913474,175.386795997131,160.172833993786,158.610086073908,163.888888888889,176.782557454331,177.988803514321,182.261806130903,183.161944366559,179.853012048193,183.570540079262,181.656804733728,182.160676592488,180.978532201697,181.853243533571,185.438705662726,188.543614486884,202.72069784084,206.672036342514,203.197968453741,212.474538434559,211.300435986175,211.521152115212,197.263397947548,198.826474265331,213.140676117775,216.63560111836,222.130526994561,221.6930517914,238.989637305699,242.911627283092,256.888888888889,264.753529842827,257.234083601286,263.797644838721,267.65873015873,266.062067511416,265.360124371752,260.253542132737,266.877405442102,271.180144558894,274.365021770682,278.053712791931,278.000659744585,280.029869852784,280.612244897959,280.960329490363,282.620689655172,284.759544334975,282.912533814247,277.372262773723,281.299524564184,278.165454815255,285.25980911983,289.168278529981,289.16867833072,288.847123823473,289.367429340511
"Dallas","TX","Dallas-Fort Worth","48","113",9,84.1095890410959,84.4308519623853,86.7224880382775,87.7634660421546,87.1341463414634,86.7052023121387,86.3408427325814,84.6721489432885,83.9274924471299,82.7691945543172,80.7114196377049,77.7795436886346,75.9233290068767,75.6243880729862,76.1764705882353,76.5501893095659,78.4495957391246,78.405117433727,76.8380187416332,74.8927855711423,73.3096170147917,72.6758286176233,70.431399917287,68.0515759312321,68.7905166240792,69.9955911675287,70.1153106982703,70.1278469383196,71.6666666666667,73.2169954476479,72.9405630865485,71.4924039320822,70.9280303030303,72.2209914832866,82.0748522652659,82.003796920518,81.3336046511628,82.6644370122631,87.6218323586745,90.280199252802,91.930729550479,91.8308222511762,91.8228934362198,91.606628897056,92.2016758877625,91.988702354556,91.0745525829321,91.0710382513661,88.6116764195582,89.1683569979716,93.9393939393939,97.1400394477318,100,96.1125246607939,96.6733466773162,101.07279142312,98.5124581628858,98.1451172940535,96.0576923076923,98.1792217065334,98.9795328676782,103.793843951324,107.780821957474,110.25979037169,110.610235347999,111.244979919679,109.292351679771,109.576023391813,111.344496065681,113.132167004895,113.168724279835,112.007168458781,111.702424073558,115.51308075242,122.226890756303,126.21359223301,128.627600738851,129.433083096039,129.262141518951,128.0038449215,130.434782608696,132.28203865689,133.101851851852,133.423790140208,134.582755423964,136.906077348066,141.239700374532,147.558080264366,150.261233019854,150.201945785391,147.79042165284,146.467163358023,146.953242835596,147.138552970293,147.601935212519,147.210332690709,146.862483311081,149.85014985015,153.141777073733
"Queens","NY","New York","36","081",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.567916666667,291.5625,293.75,300.218340611354,302.702183601989,307.273764799636,311.927877947295,315.924657534247,318.827708703375,323.930274971942,318.429143429143,318.914587664588,315.384615384615,314.171122994652,311.619543650794,321.428571428571,328.588314758528,337.372448979592,347.250224014337,346.279177574171,346.938775510204,347.034787030073,349.675234936429,344.202886850943,344.036697247706,349.289184142595,350.581272721695,353.6,348.209509231675,361.221087328754,375.213675213675,379.339583163224,390.625,396.935285588198,396.648044692737,398.581488933602,399.428571428571,411.360513055428,418.181818181818,423.913043478261,431.818181818182,438.873542050338,443.294956140351,448.717948717949,454.451597253321,456.861437908497,462.856612232196,457.875457875458,455.813047158903,444.099755781499,446.336587684259,461.753731343284,479,495.463963963964,501.179245283019,499.444,498.593126780627,496.102055279943,499.017716535433,498.863636363636,494.252873563218,499.270833333333,467.633928571429,429.230769230769
